time,Atlas 14 Storm24hDistribution Q1 90,Atlas 14 Storm24hDistribution Q1 80,Atlas 14 Storm24hDistribution Q1 70,Atlas 14 Storm24hDistribution Q1 60,Atlas 14 Storm24hDistribution Q1 50,Atlas 14 Storm24hDistribution Q1 40,Atlas 14 Storm24hDistribution Q1 30,Atlas 14 Storm24hDistribution Q1 20,Atlas 14 Storm24hDistribution Q1 10,Atlas 14 Storm24hDistribution Q2 90,Atlas 14 Storm24hDistribution Q2 80,Atlas 14 Storm24hDistribution Q2 70,Atlas 14 Storm24hDistribution Q2 60,Atlas 14 Storm24hDistribution Q2 50,Atlas 14 Storm24hDistribution Q2 40,Atlas 14 Storm24hDistribution Q2 30,Atlas 14 Storm24hDistribution Q2 20,Atlas 14 Storm24hDistribution Q2 10,Atlas 14 Storm24hDistribution Q3 90,Atlas 14 Storm24hDistribution Q3 80,Atlas 14 Storm24hDistribution Q3 70,Atlas 14 Storm24hDistribution Q3 60,Atlas 14 Storm24hDistribution Q3 50,Atlas 14 Storm24hDistribution Q3 40,Atlas 14 Storm24hDistribution Q3 30,Atlas 14 Storm24hDistribution Q3 20,Atlas 14 Storm24hDistribution Q3 10,Atlas 14 Storm24hDistribution Q4 90,Atlas 14 Storm24hDistribution Q4 80,Atlas 14 Storm24hDistribution Q4 70,Atlas 14 Storm24hDistribution Q4 60,Atlas 14 Storm24hDistribution Q4 50,Atlas 14 Storm24hDistribution Q4 40,Atlas 14 Storm24hDistribution Q4 30,Atlas 14 Storm24hDistribution Q4 20,Atlas 14 Storm24hDistribution Q4 10,Atlas 14 Storm24hDistribution ALL 90,Atlas 14 Storm24hDistribution ALL 80,Atlas 14 Storm24hDistribution ALL 70,Atlas 14 Storm24hDistribution ALL 60,Atlas 14 Storm24hDistribution ALL 50,Atlas 14 Storm24hDistribution ALL 40,Atlas 14 Storm24hDistribution ALL 30,Atlas 14 Storm24hDistribution ALL 20,Atlas 14 Storm24hDistribution ALL 10,SCS Type II 24hr,HMS 24hr,SCS Type II 6hr,HMS 6hr
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5000,0.8200,1.2000,1.7200,2.2200,4.4100,6.6700,9.6800,13.6400,25.4600,0.2600,0.6400,1.0900,1.4400,1.5400,1.9200,2.4200,2.9600,4.1400,0.2700,0.4100,0.9800,1.2600,1.5600,1.9600,2.6500,3.3600,5.4100,0.5400,0.9400,1.2500,1.5600,2.1000,2.7800,4.0900,5.6700,9.0400,0.4600,1.0000,1.3500,1.6100,2.5100,3.0800,5.4100,8.5400,15.0700,0.2500,0.3000,2.1000,1.8900
1.0000,2.0700,3.3800,5.7200,7.9700,12.1200,16.3600,21.6300,28.8200,45.9400,0.8400,1.3800,1.9800,2.5400,3.0200,3.8800,4.9100,7.0300,10.4200,0.8700,1.2700,1.8800,2.3900,2.9000,3.7000,4.9200,6.4300,10.2200,1.0700,1.8300,2.5000,3.1600,4.4000,5.7000,7.6900,10.3700,15.5800,1.1300,2.0200,2.9300,4.0500,5.8300,8.0800,12.3900,18.6600,30.6900,0.4000,0.6200,7.2000,4.0800
1.5000,3.8500,6.7200,11.0800,15.2800,21.0600,26.8600,33.9200,43.4600,61.9300,1.1700,1.9400,2.6700,3.5200,4.5500,5.8500,7.5100,10.9100,15.9100,1.2000,1.9700,2.6800,3.5100,4.3500,5.6000,7.3000,9.5500,14.3500,1.5300,2.5800,3.6600,4.8100,6.5600,8.3400,10.9000,14.4300,20.6500,1.7800,3.1300,4.7800,6.8100,9.5300,13.6600,19.9000,29.0500,45.2500,0.7500,0.9400,15.5000,6.7200
2.0000,6.3800,11.1000,17.1200,23.0000,30.0000,36.9800,45.4400,56.4600,74.0300,1.3600,2.3800,3.2800,4.5000,6.0800,7.7700,10.0300,14.0000,19.6600,1.2900,2.4300,3.4100,4.6000,5.8900,7.5900,9.7200,12.5600,17.7500,1.9100,3.2000,4.7100,6.4300,8.4700,10.6100,13.6800,17.8500,24.5700,2.3500,4.3200,6.7900,9.6300,13.3400,19.1700,27.3100,38.9400,57.9700,1.1000,1.2800,30.1000,11.3000
2.5000,9.7800,16.2500,23.4100,30.4700,38.3100,46.1400,55.6300,67.3500,82.9000,1.5700,2.7900,3.9300,5.5300,7.5600,9.5700,12.3000,16.2500,21.8200,1.3600,2.7800,4.1000,5.6500,7.4000,9.4900,11.9800,15.2300,20.4800,2.1900,3.7400,5.7000,7.9400,10.1300,12.5300,16.0000,20.5900,27.4800,2.8600,5.5700,8.8700,12.4100,17.1200,24.3500,34.2900,47.9100,68.5400,1.6000,1.6400,51.0000,18.2300
3.0000,13.9700,21.8100,29.6300,37.4000,45.7200,54.1500,64.2800,76.0800,89.1700,1.9100,3.2400,4.6800,6.6400,8.9700,11.2500,14.2500,17.8600,23.0600,1.5400,3.1300,4.7700,6.6400,8.7600,11.1600,13.9600,17.4400,22.6500,2.4000,4.2400,6.6500,9.2900,11.5900,14.2100,17.9000,22.6800,29.5400,3.3500,6.8600,10.9300,15.1100,20.8000,29.1500,40.6800,55.8000,76.9900,2.1000,2.0100,69.9000,33.8600
3.5000,18.7300,27.4700,35.5700,43.6700,52.1900,61.0300,71.4100,82.8100,93.4300,2.3300,3.7400,5.5700,7.8500,10.3600,12.8700,15.9600,19.2100,24.1600,1.8600,3.5400,5.4300,7.5600,9.9600,12.5800,15.6300,19.2200,24.4300,2.5600,4.7400,7.5700,10.4800,12.9300,15.7300,19.4600,24.2500,30.9800,3.8700,8.1800,12.9300,17.7400,24.3600,33.6100,46.4400,62.6100,83.5300,2.8500,2.4000,78.3000,78.6500
4.0000,23.7600,32.9400,41.0700,49.2600,57.7800,66.8800,77.1900,87.8300,96.2100,2.7300,4.3100,6.6100,9.1700,11.8000,14.5400,17.6200,20.6900,25.8100,2.2500,4.0000,6.0900,8.4400,11.0000,13.7900,17.0400,20.6900,26.0000,2.6900,5.2300,8.4600,11.5200,14.1900,17.1600,20.8100,25.4700,32.0400,4.4400,9.5200,14.8800,20.3200,27.7900,37.8000,51.6200,68.4200,88.4300,3.6000,2.8100,84.5000,87.3500
4.5000,28.7300,38.0100,46.0800,54.2100,62.6200,71.8700,81.8100,91.4800,97.9100,3.0300,4.9800,7.8400,10.6800,13.4200,16.3900,19.4700,22.6700,28.4600,2.6200,4.4900,6.7500,9.2800,11.9500,14.8800,18.2900,22.0000,27.4700,2.8000,5.7400,9.3100,12.4400,15.3900,18.5300,22.0400,26.5100,32.9700,5.0700,10.8900,16.7800,22.8700,31.1100,41.7900,56.2700,73.3600,92.0100,4.7000,3.2400,89.2000,92.6300
